Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Jan-11,0,0,0,0,0,8,4,4,4,3,1,42,19,23,47,15,24,8,4,1,3,7,4,3,1,0,1,2,0,2,115,161,107,54,28,220,0,0,0,0,2,218,150,23,127,3,1,2,0,562,677,44,6,27,9,2,0,4,4,0,18,66,18,4,0,0,4,38,16,13,9,60
Feb-11,1,1,0,0,0,6,5,1,3,3,0,20,9,11,43,17,22,4,5,3,2,8,3,5,1,0,1,2,0,2,89,125,96,29,35,204,0,0,0,0,0,204,117,20,97,6,0,6,0,487,576,35,5,12,13,4,1,4,2,2,4,43,21,16,0,0,16,17,3,9,5,54
Mar-11,1,0,0,1,0,22,22,0,0,0,0,33,18,15,77,17,48,12,0,0,0,9,5,4,0,0,0,3,1,2,145,112,92,20,22,195,0,0,0,0,1,194,145,12,133,0,0,0,0,474,619,84,23,33,25,2,1,7,6,1,6,97,14,7,0,0,7,20,7,8,5,41
Apr-11,0,0,0,0,0,20,20,0,8,8,0,32,8,24,41,12,22,7,3,3,0,14,7,7,1,0,1,2,0,2,121,92,65,27,16,179,0,0,0,0,1,178,138,14,124,6,0,6,0,431,552,83,26,32,18,6,1,7,4,3,5,95,12,2,0,0,2,37,7,22,8,51
May-11,0,0,0,0,0,2,2,0,1,1,0,20,10,10,46,19,22,5,3,0,3,10,4,6,0,0,0,2,0,2,84,126,104,22,25,168,0,0,0,0,1,167,156,15,141,4,0,4,0,479,563,94,21,49,23,1,0,11,6,5,7,112,13,2,0,0,2,19,9,6,4,34
Jun-11,0,0,0,0,0,9,7,2,7,7,0,30,11,19,46,17,25,4,1,1,0,8,6,2,0,0,0,1,0,1,102,123,89,34,15,179,0,0,0,0,2,177,125,8,117,2,0,2,0,444,546,43,9,20,12,2,0,2,1,1,5,50,6,7,0,0,7,19,12,3,4,32
Jul-11,0,0,0,0,0,2,2,0,3,2,1,25,8,17,40,14,21,5,7,6,1,7,5,2,1,0,1,2,0,2,87,103,69,34,15,144,0,0,0,0,0,144,125,12,113,2,0,2,0,389,476,68,13,35,18,2,0,2,1,1,12,82,17,0,0,0,0,18,11,2,5,35
Aug-11,1,0,0,0,1,14,12,2,0,0,0,27,9,18,51,16,31,4,3,3,0,10,7,3,0,0,0,2,0,2,108,74,57,17,9,120,0,0,0,0,0,120,98,13,85,1,0,1,0,302,410,93,11,47,28,6,1,5,4,1,9,107,7,1,0,0,1,24,8,10,6,32
Sep-11,0,0,0,0,0,6,4,2,4,4,0,24,10,14,46,17,23,6,4,1,3,10,5,5,1,0,1,2,0,2,97,67,50,17,10,145,0,0,0,0,2,143,119,10,109,10,4,6,0,351,448,82,13,36,24,8,1,3,3,0,9,94,33,7,2,0,5,18,9,2,7,58
Oct-11,0,0,0,0,0,2,2,0,12,11,1,30,14,16,48,14,25,9,0,0,0,10,5,5,0,0,0,0,0,0,102,58,44,14,7,154,0,0,0,0,0,154,121,15,106,1,0,1,0,341,443,57,4,28,21,3,1,2,1,1,7,66,17,7,1,0,6,27,11,7,9,51
Nov-11,1,0,0,0,1,8,6,2,2,2,0,26,7,19,49,22,25,2,2,2,0,16,11,5,1,1,0,3,0,3,108,76,58,18,12,160,0,0,0,0,1,159,123,12,111,2,0,2,0,373,481,77,12,38,24,2,1,7,3,4,8,92,5,6,0,0,6,32,18,2,12,43
Dec-11,0,0,0,0,0,4,4,0,17,13,4,57,24,33,41,10,22,9,10,3,7,6,3,3,3,0,3,1,0,1,139,105,77,28,12,163,0,0,0,0,1,162,179,15,164,3,0,3,0,462,601,63,5,40,13,4,1,5,0,5,11,79,6,2,0,0,2,35,23,5,7,43
Jan-12,0,0,0,0,0,2,1,1,4,4,0,41,16,25,47,17,24,6,6,1,5,4,2,2,0,0,0,3,0,3,107,118,94,24,25,203,0,0,0,0,2,201,149,21,128,3,0,3,0,498,605,68,8,41,13,6,0,7,1,6,7,82,27,47,0,0,47,22,14,3,5,96
Feb-12,1,0,0,0,1,5,4,1,9,9,0,37,15,22,54,21,28,5,3,2,1,13,7,6,1,0,1,1,0,1,124,92,70,22,11,197,0,0,0,0,2,195,126,16,110,5,0,5,0,431,555,63,9,26,25,2,1,6,3,3,12,81,8,0,0,0,0,22,8,3,11,30
Mar-12,0,0,0,0,0,7,6,1,12,9,3,30,15,15,45,4,35,6,6,1,5,8,2,6,1,0,1,4,1,3,113,100,79,21,26,181,0,0,0,0,4,177,134,16,118,6,1,5,0,447,560,110,11,62,32,4,1,9,8,1,19,138,13,4,0,0,4,29,17,4,8,46
Apr-12,0,0,0,0,0,23,19,4,9,9,0,28,12,16,37,11,23,3,3,1,2,11,2,9,0,0,0,0,0,0,111,96,72,24,18,171,0,0,0,0,2,169,142,21,121,3,0,3,0,430,541,57,7,30,16,4,0,7,5,2,11,75,9,3,1,0,2,21,14,2,5,33
