Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Fremantle,Mar-11,0,0,0,0,0,24,20,4,8,8,0,47,6,41,74,22,45,7,10,9,1,16,4,12,4,0,4,13,2,11,196,323,268,55,94,758,0,0,0,0,4,754,304,29,275,14,3,11,0,1493,1689,79,6,40,26,7,0,13,7,6,14,106,25,98,2,0,96,55,38,8,9,178
Fremantle,Apr-11,0,0,0,0,0,13,9,4,13,11,2,64,9,55,66,20,42,4,5,5,0,20,9,11,5,1,4,10,6,4,196,338,251,87,77,675,0,0,0,0,2,673,241,26,215,4,1,3,0,1335,1531,99,4,67,25,3,0,25,19,6,12,136,59,69,2,0,67,20,12,7,1,148
Fremantle,May-11,2,1,1,0,0,5,1,4,3,3,0,55,11,44,76,29,44,3,9,9,0,15,4,11,0,0,0,17,4,13,182,343,268,75,77,834,0,0,0,0,3,831,265,36,229,10,0,10,0,1529,1711,82,4,49,25,4,0,23,20,3,9,114,23,63,0,0,63,25,12,9,4,111
Fremantle,Jun-11,0,0,0,0,0,16,7,9,21,20,1,61,9,52,96,34,55,7,3,2,1,19,14,5,1,0,1,10,0,10,227,328,225,103,76,730,0,0,0,0,5,725,256,31,225,7,0,7,0,1397,1624,93,6,50,33,3,1,10,9,1,8,111,59,29,1,0,28,20,12,7,1,108
Fremantle,Jul-11,1,0,0,0,1,12,9,3,17,13,4,42,7,35,82,37,37,8,5,4,1,13,9,4,0,0,0,15,4,11,187,362,230,132,84,671,0,0,0,0,1,670,261,24,237,4,0,4,0,1382,1569,79,2,46,25,5,1,13,9,4,7,99,27,33,1,0,32,22,11,6,5,82
Fremantle,Aug-11,0,0,0,0,0,9,7,2,6,2,4,42,7,35,57,20,36,1,1,1,0,15,12,3,0,0,0,11,1,10,141,324,244,80,75,745,0,0,0,0,2,743,227,37,190,8,0,8,0,1379,1520,138,18,68,42,10,0,16,14,2,46,200,41,75,1,0,74,32,27,4,1,148
Fremantle,Sep-11,1,0,0,0,1,5,4,1,3,2,1,46,7,39,75,20,49,6,8,7,1,21,14,7,2,0,2,12,0,12,173,321,240,81,61,734,0,0,0,0,5,729,261,35,226,5,0,5,0,1382,1555,83,11,34,35,3,0,7,4,3,11,101,33,29,2,0,27,49,32,10,7,111
Fremantle,Oct-11,0,0,0,0,0,28,20,8,12,11,1,57,13,44,87,27,56,4,16,11,5,11,5,6,0,0,0,9,3,6,220,359,266,93,71,817,0,0,0,0,4,813,290,33,257,5,0,5,0,1542,1762,64,4,35,19,5,1,15,10,5,10,89,59,49,1,0,48,26,10,7,9,134
Fremantle,Nov-11,0,0,0,0,0,9,6,3,7,4,3,69,14,55,85,35,46,4,10,7,3,16,11,5,2,0,2,15,1,14,213,357,247,110,84,744,0,0,0,0,1,743,292,35,257,3,0,3,0,1480,1693,89,6,45,30,8,0,13,11,2,17,119,37,83,2,0,81,51,41,8,2,171
Fremantle,Dec-11,0,0,0,0,0,10,6,4,0,0,0,70,7,63,79,21,49,9,8,5,3,19,15,4,0,0,0,17,3,14,203,364,283,81,83,705,0,0,0,0,1,704,234,38,196,7,1,6,0,1393,1596,86,7,49,25,4,1,19,17,2,4,109,128,47,0,0,47,37,27,2,8,212
Fremantle,Jan-12,0,0,0,0,0,12,12,0,9,7,2,94,16,78,109,31,73,5,16,12,4,7,3,4,2,0,2,10,3,7,259,390,282,108,86,774,0,0,0,0,5,769,260,36,224,5,0,5,0,1515,1774,111,15,58,31,6,1,31,25,6,9,151,24,40,0,0,40,32,26,1,5,96
Fremantle,Feb-12,0,0,0,0,0,6,5,1,8,7,1,70,10,60,96,34,57,5,11,10,1,13,6,7,1,0,1,11,0,11,216,388,280,108,83,697,0,0,0,0,2,695,214,21,193,7,0,7,0,1389,1605,74,5,41,23,4,1,16,15,1,14,104,12,27,0,0,27,55,40,6,9,94
Fremantle,Mar-12,4,1,0,0,3,15,13,2,8,7,1,75,17,58,108,28,71,9,5,3,2,7,4,3,0,0,0,12,2,10,234,448,336,112,100,747,0,0,0,0,5,742,255,34,221,6,2,4,0,1556,1790,114,10,49,47,7,1,15,9,6,15,144,37,200,2,0,198,38,28,4,6,275
Fremantle,Apr-12,0,0,0,0,0,6,6,0,11,11,0,72,12,60,87,27,56,4,9,5,4,23,15,8,1,0,1,17,1,16,226,327,255,72,82,662,0,0,0,0,1,661,248,31,217,14,0,14,0,1333,1559,158,5,115,34,4,0,16,10,6,12,186,41,78,2,0,76,56,31,13,12,175
Fremantle,May-12,2,1,0,0,1,9,5,4,18,17,1,47,14,33,68,23,41,4,3,2,1,18,12,6,1,1,0,15,3,12,181,372,304,68,74,670,0,0,0,0,1,669,210,23,187,5,0,5,0,1331,1512,155,12,81,57,5,0,33,27,6,19,207,16,177,2,0,175,40,31,3,6,233
Fremantle,Jun-12,1,1,0,0,0,9,6,3,1,0,1,59,16,43,47,15,32,0,8,8,0,11,4,7,1,0,1,15,9,6,152,313,221,92,60,662,0,0,0,0,4,658,191,21,170,6,0,6,0,1232,1384,138,10,71,53,2,2,20,13,7,22,180,29,182,1,0,181,45,26,5,14,256
Fremantle,Jul-12,1,0,0,0,1,6,5,1,5,2,3,66,13,53,67,18,45,4,13,12,1,18,10,8,2,0,2,11,2,9,189,346,246,100,80,571,0,0,0,0,2,569,225,26,199,2,0,2,0,1224,1413,114,7,74,30,3,0,18,12,6,20,152,24,131,2,0,129,59,53,2,4,214
Fremantle,Aug-12,1,0,0,0,1,16,11,5,21,20,1,64,13,51,98,24,69,5,14,13,1,22,7,15,5,2,3,20,5,15,261,307,234,73,56,584,0,0,0,0,2,582,218,30,188,3,0,3,0,1168,1429,96,8,58,28,1,1,18,16,2,18,132,45,105,4,0,101,45,25,12,8,195
