Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Armadale,Dec-09,0,0,0,0,0,13,8,5,5,5,0,74,19,55,124,42,75,7,1,0,1,14,7,7,4,0,4,9,0,9,244,237,189,48,49,369,0,0,0,0,4,365,304,28,276,11,0,11,0,970,1214,150,13,69,50,16,2,8,8,0,16,174,58,25,1,0,24,29,16,9,4,112
Armadale,Jan-10,4,2,1,1,0,7,6,1,8,4,4,65,20,45,88,38,49,1,6,4,2,18,13,5,3,0,3,17,0,17,216,264,230,34,53,357,0,0,0,0,1,356,309,30,279,9,1,8,0,992,1208,68,4,40,17,7,0,11,8,3,7,86,127,39,0,0,39,55,40,10,5,221
Armadale,Feb-10,2,2,0,0,0,20,9,11,31,27,4,49,15,34,78,23,52,3,3,2,1,25,17,8,5,0,5,17,0,17,230,197,166,31,28,386,0,0,0,0,5,381,198,17,181,6,0,6,0,815,1045,95,7,49,30,9,0,2,2,0,14,111,62,23,0,0,23,66,48,10,8,151
Armadale,Mar-10,1,0,0,0,1,8,6,2,7,7,0,53,14,39,82,31,46,5,5,3,2,35,29,6,4,0,4,17,2,15,212,277,224,53,59,404,0,0,0,0,1,403,218,17,201,12,1,11,0,970,1182,59,5,29,17,8,0,11,10,1,12,82,83,17,0,0,17,45,24,12,9,145
Armadale,Apr-10,0,0,0,0,0,8,7,1,45,41,4,45,14,31,73,29,36,8,7,6,1,14,7,7,2,0,2,17,2,15,211,221,178,43,63,360,0,0,0,0,0,360,215,23,192,6,0,6,0,865,1076,89,6,47,28,8,0,16,13,3,24,129,98,17,1,0,16,34,21,4,9,149
Armadale,May-10,0,0,0,0,0,27,12,15,4,4,0,35,6,29,53,17,34,2,5,4,1,11,8,3,3,1,2,9,0,9,147,224,179,45,51,424,0,0,0,0,1,423,228,27,201,5,0,5,0,932,1079,111,10,59,30,11,1,8,7,1,7,126,79,26,2,0,24,34,22,6,6,139
Armadale,Jun-10,1,0,0,0,1,26,15,11,6,4,2,49,8,41,59,21,34,4,2,2,0,3,3,0,3,1,2,9,0,9,158,206,162,44,64,392,0,0,0,0,4,388,179,28,151,9,0,9,0,850,1008,108,9,56,39,4,0,19,14,5,24,151,86,46,0,0,46,56,29,22,5,188
Armadale,Jul-10,0,0,0,0,0,10,6,4,6,6,0,43,7,36,67,25,37,5,7,5,2,20,14,6,2,0,2,9,2,7,164,202,162,40,48,374,0,0,0,0,0,374,211,23,188,6,0,6,0,841,1005,83,6,42,26,8,1,6,4,2,10,99,90,101,1,0,100,46,31,11,4,237
Armadale,Aug-10,0,0,0,0,0,11,7,4,57,57,0,58,11,47,81,17,61,3,7,5,2,20,13,7,3,0,3,14,0,14,251,202,169,33,57,338,0,0,0,0,1,337,232,30,202,11,0,11,0,840,1091,94,14,57,14,8,1,9,8,1,10,113,82,24,1,0,23,41,36,3,2,147
Armadale,Sep-10,2,0,0,0,2,9,1,8,43,41,2,53,12,41,64,24,32,8,8,6,2,21,11,10,5,0,5,6,0,6,211,287,234,53,54,453,0,0,0,0,0,453,217,18,199,7,0,7,0,1018,1229,101,2,63,23,12,1,9,4,5,13,123,20,36,0,0,36,38,27,4,7,94
